name,type,cy,by,ud
AAPG Bulletin,J,26,0,0
Environmental Geosciences,J,4,0,0
Nordic Pulp and Paper Research Journal,J,17,0,0
Advanced Technology for Learning,J,7,0,193
Control and Intelligent Systems,J,12,0,97
International Journal of Computers and Applications,J,12,0,276
International Journal of Modelling and Simulation,J,0,0,137
International Journal of Power and Energy Systems,J,13,0,248
International Journal of Robotics and Automation,J,8,0,196
SCRIPT-ed,J,7,0,0
Learned Publishing,J,12,0,14
Applied Mechanics Reviews,J,3,0,0
Journal of Applied Mechanics,J,56,0,0
Journal of Biomechanical Engineering,J,38,0,0
Journal of Computational and Nonlinear Dynamics,J,12,0,0
Journal of Computing and Information Science in Engineering,J,12,0,0
Journal of Dynamic Systems Measurement and Control,J,18,0,0
Journal of Electronic Packaging,J,20,0,0
Journal of Energy Resources Technology,J,14,0,0
Journal of Engineering Materials and Technology,J,31,0,0
Journal of Engineering for Gas Turbines and Power,J,34,0,0
Journal of Fluids Engineering,J,31,0,0
Journal of Fuel Cell Science and Technology,J,20,0,0
Journal of Heat Transfer,J,81,0,0
Journal of Manufacturing Science and Engineering,J,19,0,0
Journal of Mechanical Design,J,41,0,0
Journal of Medical Devices,J,7,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,11,0,0
Journal of Pressure Vessel Technology,J,24,0,0
Journal of Solar Energy Engineering,J,18,0,0
Journal of Tribology,J,32,0,0
Journal of Turbomachinery,J,22,0,0
Journal of Vibration and Acoustics,J,34,0,0
Geotechnical Testing Journal,J,16,0,10
Journal of ASTM International,J,66,0,115
Journal of Testing and Evaluation,J,23,0,14
The Journal of the Acoustical Society of America,J,368,0,0
Acoustical Science and Technology,J,22,0,0
Acta Dermato-Venereologica,J,26,0,0
Journal of Rehabilitation Medicine,J,38,0,0
Agricultural History,J,6,0,6
Journal of the Air &amp; Waste Management Association,J,24,0,0
Acta Agronomica Hungarica,J,16,0,16
Acta Alimentaria,J,19,0,2
Acta Antiqua,J,5,0,0
Acta Biologica Hungarica,J,8,0,0
Acta Botanica Hungarica,J,15,0,1
Acta Geodaetica et Geophysica Hungarica,J,8,0,0
Acta Geologica Hungarica,J,0,0,10
Acta Juridica Hungarica,J,6,0,6
Acta Linguistica Hungarica,J,13,0,0
Acta Microbiologica et Immunologica Hungarica,J,17,0,7
Acta Oeconomica,J,6,0,6
Acta Physiologica Hungarica,J,13,0,0
Acta Phytopathologica et Entomologica Hungarica,J,0,0,1
Acta Veterinaria Hungarica,J,14,0,0
