name,type,cy,by,ud
AAPG Bulletin,J,21,0,0
Advanced Technology for Learning,J,1,37,125
Control and Intelligent Systems,J,0,8,362
International Journal of Computers and Applications,J,0,25,375
International Journal of Modelling and Simulation,J,0,25,186
International Journal of Power and Energy Systems,J,0,12,186
International Journal of Robotics and Automation,J,0,16,146
CrossRef Listing of Deleted DOIs,J,0,0,4
SCRIPT-ed,J,127,0,23
Learned Publishing,J,12,0,0
Journal of Failure Analysis &amp; Prevention,J,13,0,0
Journal of Materials Engineering and Performance,J,38,0,0
Journal of Phase Equilibria &amp; Diffusion,J,60,0,0
Journal of Thermal Spray Technology,J,21,0,21
Applied Mechanics Reviews,J,3,0,0
Journal of Applied Mechanics,J,41,0,0
Journal of Biomechanical Engineering,J,23,0,0
Journal of Computational and Nonlinear Dynamics,J,25,0,0
Journal of Computing and Information Science in Engineering,J,14,0,0
Journal of Dynamic Systems Measurement and Control,J,46,0,0
Journal of Electronic Packaging,J,24,0,0
Journal of Energy Resources Technology,J,14,0,0
Journal of Engineering Materials and Technology,J,38,0,0
Journal of Engineering for Gas Turbines and Power,J,35,0,0
Journal of Fluids Engineering,J,30,0,0
Journal of Fuel Cell Science and Technology,J,22,0,0
Journal of Heat Transfer,J,43,0,0
Journal of Manufacturing Science and Engineering,J,27,0,0
Journal of Mechanical Design,J,40,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,10,0,0
Journal of Pressure Vessel Technology,J,27,0,0
Journal of Solar Energy Engineering,J,18,0,0
Journal of Tribology,J,29,0,0
Geotechnical Testing Journal,J,12,0,6
Journal of ASTM International,J,46,0,3
Journal of Testing and Evaluation,J,15,0,3
The Journal of the Acoustical Society of America,J,492,0,0
Acoustical Science and Technology,J,16,0,0
Acta Dermato-Venereologica,J,22,0,0
Acta Agronomica Hungarica,J,13,0,0
Acta Alimentaria,J,9,0,0
Acta Botanica Hungarica,J,0,0,17
Acta Ethnographica Hungarica,J,10,0,0
Acta Geodaetica et Geophysica Hungarica,J,16,0,0
Acta Juridica Hungarica,J,7,0,0
Acta Linguistica Hungarica,J,5,0,0
Acta Oeconomica,J,12,0,0
Acta Physiologica Hungarica,J,6,0,0
Acta Veterinaria Hungarica,J,10,0,0
Journal of Cultural and Evolutionary Psychology,J,0,0,4
Ment??lhigi??n?? es Pszichoszomatika,J,10,0,10
Review of Sociology,J,8,0,0
Society and Economy,J,5,0,0
Studia Scientiarum Mathematicarum Hungarica,J,3,0,3
International Family Planning Perspectives,J,5,0,0
Perspectives on Sexual and Reproductive Health,J,5,0,0
Stem Cells,J,79,0,57
The Oncologist,J,30,0,32
Journal of Oral Implantology,J,9,0,9
PEDIATRICS,J,329,0,171
Journal of Periodontology,J,69,0,8
Cancer Epidemiology Biomarkers &amp; Prevention,J,141,0,44
Cancer Research,J,348,0,127
Clinical Cancer Research,J,261,0,51
Molecular Cancer Research,J,27,0,10
Molecular Cancer Therapeutics,J,99,0,26
Clinical Chemistry,J,95,0,40
Science,J,1069,164222,177043
Science s STKE,J,136,0,0
American Journal on Mental Retardation,J,14,0,75
Mental Retardation,J,11,0,11
AAPS PharmSciTech,J,51,0,0
The AAPS Journal,J,20,0,0
Medical Physics,J,123,0,0
American Journal of Physics,J,55,0,0
The Physics Teacher,J,70,0,38
ACS Chemical Biology,J,72,0,110
Accounts of Chemical Research,J,17,0,31
Analytical Chemistry,J,271,30,236
Biochemistry,J,408,0,377
Bioconjugate Chemistry,J,64,0,36
Biomacromolecules,J,132,0,120
Biotechnology Progress,J,41,0,103
Chemical Research in Toxicology,J,54,0,57
Chemical Reviews,J,38,1,31
Chemistry of Materials,J,239,0,201
Crystal Growth &amp; Design,J,110,0,105
Energy &amp; Fuels,J,99,0,71
Environmental Science &amp; Technology,J,273,0,295
Industrial &amp; Engineering Chemistry,J,0,0,1
Industrial &amp; Engineering Chemistry Research,J,285,0,315
Inorganic Chemistry,J,348,0,330
Journal of Agricultural and Food Chemistry,J,336,0,316
Journal of Chemical &amp; Engineering Data,J,92,0,59
Journal of Chemical Information and Modeling,J,62,0,53
Journal of Chemical Theory and Computation,J,45,0,24
Journal of Combinatorial Chemistry,J,36,0,19
Journal of Medicinal Chemistry,J,220,1,200
Journal of Natural Products,J,110,0,100
Journal of Physical Chemistry,J,0,43,78
Journal of Physical Chemistry A,J,361,0,328
Journal of Physical Chemistry B,J,765,0,886
Journal of Physical Chemistry C,J,213,0,0
Journal of Proteome Research,J,120,0,121
Journal of the American Chemical Society,J,848,1,835
Langmuir,J,473,0,460
Macromolecules,J,326,0,310
Molecular Pharmaceutics,J,20,0,31
Nano Letters,J,160,0,146
Organic Letters,J,368,0,413
Organic Process Research &amp; Development,J,49,0,34
Organometallics,J,177,0,213
The Journal of Organic Chemistry,J,331,6,400
The Cleft Palate-Craniofacial Journal,J,15,0,299
Chest,J,164,0,62
Journal of Veterinary Internal Medicine,J,81,0,1001
Veterinary Pathology,J,64,0,0
Anesthesia Progress,J,62,0,0
Clinical Diabetes,J,12,0,0
Diabetes,J,151,0,0
Diabetes Care,J,169,0,0
Diabetes Spectrum,J,11,0,0
Journal of Aquatic Animal Health,J,5,0,0
North American Journal of Aquaculture,J,25,0,38
North American Journal of Fisheries Management,J,29,0,56
Transactions of the American Fisheries Society,J,27,0,131
Deleted DOIs,J,0,0,2
Eos Transactions American Geophysical Union,J,1135,5945,100
Geochemistry Geophysics Geosystems,J,65,0,9
Geophysical Research Letters,J,438,0,87
Global Biogeochemical Cycles,J,23,0,1
International Journal of Geomagnetism and Aeronomy,J,8,0,0
Journal of Geophysical Research,J,670,0,155
Paleoceanography,J,24,0,0
Radio Science,J,27,0,10
Reviews of Geophysics,J,2,0,0
Space Weather,J,13,0,2
Tectonics,J,12,0,1
Water Resources Research,J,98,0,0
AIAA Journal,J,105,0,60
Journal of Aircraft,J,79,0,14
Journal of Guidance Control and Dynamics,J,85,0,17
Journal of Propulsion and Power,J,66,0,8
Journal of Spacecraft and Rockets,J,44,0,10
Journal of Thermophysics and Heat Transfer,J,64,0,12
AIP Conference Proceedings,C,2446,0,71
Applied Physics Letters,J,1682,0,1206
Biomicrofluidics,J,2,0,0
