name,type,cy,by,ud
American Journal of Critical Care,J,26,0,7
Critical Care Nurse,J,8,0,0
AAPG Bulletin,J,18,0,0
Environmental Geosciences,J,1,0,0
Acta Endocrinologica (Bucharest),J,17,0,0
Control and Intelligent Systems,J,7,0,203
International Journal of Computational Bioscience,J,4,0,7
International Journal of Computers and Applications,J,18,0,263
International Journal of Robotics and Automation,J,9,0,198
Acta Virologica,J,11,0,0
Ekologia,J,9,0,0
Endocrine Regulations,J,15,0,0
General Physiology and Biophysics,J,12,0,0
International Journal of Advancements in Computing Technology,J,34,0,0
International Journal of Digital Content Technology and its Applications,J,22,0,0
International Journal of Information Processing and Management,J,16,0,0
Learned Publishing,J,31,0,0
American Journal of Occupational Therapy,J,35,312,0
Pesquisa Brasileira em Odontopediatria e Cl??nica Integrada,J,27,0,0
Physicae,J,6,0,0
ASME 2009 7th International Conference on Nanochannels Microchannels and Minichannels,C,192,0,0
ASME 2009 Dynamic Systems and Control Conference Volume 1,C,117,0,0
ASME 2009 Dynamic Systems and Control Conference Volume 2,C,114,0,0
ASME 2009 Internal Combustion Engine Division Fall Technical Conference,C,55,0,0
ASME 2009 International Manufacturing Science and Engineering Conference Volume 1,C,101,0,0
ASME 2009 International Manufacturing Science and Engineering Conference Volume 2,C,85,0,0
ASME 2009 Power Conference,C,81,0,0
Applied Mechanics Reviews,J,4,0,0
Design and Application of the Worm Gear,B,0,16,0
Effective Innovation,B,0,13,0
Engineer Entrepreneur,B,0,13,0
Guidebook for the Design of ASME Section VIII Pressure Vessels,B,11,0,0
Heat Exchanger Engineering Techniques,B,0,34,0
International Conference on Mechanical and Electrical Technology 2009 (ICMET 2009),B,46,0,0
Journal of Applied Mechanics,J,10,0,11
Journal of Biomechanical Engineering,J,71,0,13
Journal of Computational and Nonlinear Dynamics,J,16,0,0
Journal of Computing and Information Science in Engineering,J,13,0,0
Journal of Dynamic Systems Measurement and Control,J,16,91,0
Journal of Electronic Packaging,J,14,0,0
Journal of Engineering Materials and Technology,J,11,87,0
Journal of Engineering for Gas Turbines and Power,J,88,0,0
Journal of Engineering for Industry,J,0,92,0
Journal of Fluids Engineering,J,34,0,0
Journal of Fuel Cell Science and Technology,J,39,0,0
