name,type,cy,by,ud
American Journal of Critical Care,J,43,0,36
Critical Care Nurse,J,12,0,0
AAPG Bulletin,J,17,0,6
Environmental Geosciences,J,3,0,0
The Geology of Cuba,B,8,0,7
International Journal of Digital Content Technology and its Applications,J,17,0,0
Journal of Convergence Information Technology,J,13,0,0
Learned Publishing,J,14,0,0
10th Annual North American Waste-to-Energy Conference,C,0,29,0
10th International Conference on Nuclear Engineering Volume 1,C,0,111,0
10th International Conference on Nuclear Engineering Volume 2,C,0,130,0
10th International Conference on Nuclear Engineering Volume 3,C,0,123,0
10th International Conference on Nuclear Engineering Volume 4,C,0,135,0
11th Annual North American Waste-to-Energy Conference,C,0,32,0
17th International Conference on Fluidized Bed Combustion,C,0,112,0
1st International Conference on Microchannels and Minichannels,C,0,121,0
1st International Fuel Cell Science Engineering and Technology Conference,C,0,70,0
2002 International Joint Power Generation Conference,C,0,125,0
21st International Conference on Offshore Mechanics and Arctic Engineering Volume 1,C,0,100,0
21st International Conference on Offshore Mechanics and Arctic Engineering Volume 2,C,0,99,0
21st International Conference on Offshore Mechanics and Arctic Engineering Volume 3,C,0,84,0
21st International Conference on Offshore Mechanics and Arctic Engineering Volume 4,C,0,97,0
23rd International Conference on Offshore Mechanics and Arctic Engineering Volume 1 Parts A and B,C,0,126,0
23rd International Conference on Offshore Mechanics and Arctic Engineering Volume 2,C,0,120,0
23rd International Conference on Offshore Mechanics and Arctic Engineering Volume 3,C,0,121,0
4th International Pipeline Conference Parts A and B,C,0,251,0
9th ASME International Conference on Radioactive Waste Management and Environmental Remediation Volumes 1 2 and 3,C,0,284,0
ASME 2002 Wind Energy Symposium,C,0,42,0
ASME 2003 Wind Energy Symposium,C,0,40,40
ASME 2007 2nd Energy Nanotechnology International Conference,C,16,0,0
ASME 2007 2nd Frontiers in Biomedical Devices,C,69,0,0
ASME 2007 Energy Sustainability Conference,C,135,0,0
ASME 2007 Internal Combustion Engine Division Fall Technical Conference,C,68,0,0
ASME 2007 International Manufacturing Science and Engineering Conference,C,118,0,0
ASME 2007 Rail Transportation Division Fall Technical Conference,C,15,0,0
ASME/STLE 2004 International Joint Tribology Conference Parts A and B,C,0,119,0
ASME/STLE 2007 International Joint Tribology Conference Parts A and B,C,302,0,0
Applied Mechanics Reviews,J,6,0,0
Contact Mechanics,C,0,30,0
Design Application Performance and Emissions of Modern Internal Combustion Engine Systems and Components,C,0,147,0
Design Operation and Application of Modern Internal Combustion Engines and Associated Systems,C,0,33,0
Design and Control of Diesel and Natural Gas Engines for Industrial and Rail Transportation Applications,C,0,44,0
Engineering Technology Conference on Energy Parts A and B,C,0,129,0
Joint Rail,C,0,23,0
Journal of Applied Mechanics,J,32,0,0
Journal of Biomechanical Engineering,J,40,0,0
Journal of Computational and Nonlinear Dynamics,J,11,0,0
Journal of Computing and Information Science in Engineering,J,12,0,0
Journal of Dynamic Systems Measurement and Control,J,32,0,0
Journal of Electronic Packaging,J,17,0,0
Journal of Energy Resources Technology,J,11,0,0
Journal of Engineering Materials and Technology,J,17,0,0
Journal of Engineering for Gas Turbines and Power,J,66,0,0
Journal of Fluids Engineering,J,37,0,0
Journal of Fuel Cell Science and Technology,J,27,0,0
Journal of Heat Transfer,J,66,0,0
Journal of Manufacturing Science and Engineering,J,28,0,0
Journal of Mechanical Design,J,33,0,0
Journal of Medical Devices,J,10,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,10,0,0
Journal of Pressure Vessel Technology,J,35,0,0
Journal of Solar Energy Engineering,J,15,0,0
Journal of Tribology,J,33,0,0
Journal of Turbomachinery,J,21,0,0
Journal of Vibration and Acoustics,J,27,0,0
Magnetic Storage Symposium Frontiers of Magnetic Hard Disk Drive Tribology and Technology,C,0,31,0
Solar Energy,C,0,142,0
Volume 1,C,0,129,0
Volume 1 Fora Parts A B C and D,C,0,368,0
Volume 1 Fora Parts A and B,C,0,237,0
Volume 1 Offshore Technology Ocean Space Utilization,C,0,96,0
Volume 1 Symposia Parts A and B,C,234,0,0
Volume 1 Turbo Expo 2002,C,0,123,0
Volume 1 Turbo Expo 2003,C,0,104,0
Volume 1 Turbo Expo 2007,C,106,0,0
Volume 2 Fora Parts A and B,C,225,0,0
Volume 2 Parts A and B,C,0,149,0
