name,type,cy,by,ud
AAPG Bulletin,J,15,0,0
Control and Intelligent Systems,J,1,28,37
International Journal of Computers and Applications,J,1,29,54
International Journal of Modelling and Simulation,J,1,30,56
International Journal of Power and Energy Systems,J,1,37,80
International Journal of Robotics and Automation,J,1,22,46
Learned Publishing,J,13,0,0
Journal of Failure Analysis &amp; Prevention,J,14,0,0
Journal of Materials Engineering and Performance,J,21,0,0
Journal of Phase Equilibria &amp; Diffusion,J,29,0,0
Applied Mechanics Reviews,J,3,0,0
Journal of Applied Mechanics,J,24,0,0
Journal of Biomechanical Engineering,J,23,0,0
Journal of Computing and Information Science in Engineering,J,10,0,0
Journal of Dynamic Systems Measurement and Control,J,37,0,0
Journal of Electronic Packaging,J,18,0,0
Journal of Energy Resources Technology,J,11,0,0
Journal of Engineering for Gas Turbines and Power,J,26,0,0
Journal of Fluids Engineering,J,56,0,0
Journal of Fuel Cell Science and Technology,J,20,0,0
Journal of Heat Transfer,J,38,0,0
Journal of Manufacturing Science and Engineering,J,27,0,0
Journal of Mechanical Design,J,16,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,10,0,0
Journal of Pressure Vessel Technology,J,27,0,0
Journal of Solar Energy Engineering,J,21,0,0
Journal of Tribology,J,29,0,0
Journal of Turbomachinery,J,24,0,0
Journal of Vibration and Acoustics,J,31,0,0
Geotechnical Testing Journal,J,18,0,0
Journal of ASTM International,J,52,0,0
Journal of Testing and Evaluation,J,18,0,0
The Journal of the Acoustical Society of America,J,422,0,0
Acoustical Science and Technology,J,21,0,0
Acta Dermato-Venereologica,J,90,0,0
Acta Agronomica Hungarica,J,10,0,24
Acta Botanica Hungarica,J,17,0,0
Acta Physica Hungarica A) Heavy Ion Physics,J,61,0,14
Acta Veterinaria Hungarica,J,12,0,0
Community Ecology,J,13,0,0
Hungarian Studies,J,11,0,0
Journal of Cultural and Evolutionary Psychology,J,4,0,0
Studia Scientiarum Mathematicarum Hungarica,J,4,0,0
Verbum,J,21,0,0
International Family Planning Perspectives,J,5,0,5
Perspectives on Sexual and Reproductive Health,J,6,0,0
Built Environment,J,11,0,0
Stem Cells,J,91,0,69
The Oncologist,J,39,0,0
Journal of Oral Implantology,J,18,0,18
PEDIATRICS,J,430,0,52
Journal of Periodontology,J,46,0,59
Cancer Epidemiology Biomarkers &amp; Prevention,J,98,0,0
Cancer Research,J,379,0,2
Clinical Cancer Research,J,244,0,1
Molecular Cancer Research,J,25,0,10
Molecular Cancer Therapeutics,J,118,0,0
Clinical Chemistry,J,112,0,64
Science,J,1120,342,60
Science of Aging Knowledge Environment,J,13,0,0
Science s STKE,J,134,0,0
American Journal on Mental Retardation,J,9,0,18
Mental Retardation,J,20,0,20
Medical Physics,J,1553,0,0
American Journal of Physics,J,81,0,0
The Physcis Teacher,J,0,34,0
The Physics Teacher,J,50,8546,56
ACS Chemical Biology,J,48,0,21
Accounts of Chemical Research,J,46,0,28
Analytical Chemistry,J,272,0,305
Biochemistry,J,392,0,423
Bioconjugate Chemistry,J,48,0,64
Biomacromolecules,J,95,0,86
Biotechnology Progress,J,52,0,40
Chemical Research in Toxicology,J,56,0,53
Chemical Reviews,J,43,0,89
Chemistry of Materials,J,235,0,253
Crystal Growth &amp; Design,J,102,0,120
Energy &amp; Fuels,J,122,0,133
Environmental Science &amp; Technology,J,303,0,298
Industrial &amp; Engineering Chemistry Chemical &amp; Engineering Data Series,J,0,28,0
Industrial &amp; Engineering Chemistry Research,J,242,0,210
Inorganic Chemistry,J,387,0,424
Journal of Agricultural and Food Chemistry,J,411,0,429
Journal of Chemical &amp; Engineering Data,J,101,0,146
Journal of Chemical Information and Modeling,J,53,0,67
Journal of Chemical Theory and Computation,J,37,0,57
Journal of Combinatorial Chemistry,J,30,0,41
Journal of Medicinal Chemistry,J,200,0,246
Journal of Natural Products,J,96,0,107
Journal of Physical Chemistry,J,0,251,3
Journal of Physical Chemistry A,J,349,0,400
Journal of Physical Chemistry B,J,977,0,902
Journal of Proteome Research,J,114,0,104
Journal of the American Chemical Society,J,847,88,863
Langmuir,J,467,0,328
Macromolecules,J,344,0,355
Molecular Pharmaceutics,J,24,0,12
Nano Letters,J,150,0,159
Organic Letters,J,426,0,383
Organic Process Research &amp; Development,J,42,0,58
Organometallics,J,232,0,215
The Journal of Organic Chemistry,J,393,1,433
The Cleft Palate-Craniofacial Journal,J,73,0,59
Chest,J,178,0,0
Journal of Veterinary Internal Medicine,J,41,0,999
Veterinary Pathology,J,73,0,0
Clinical Diabetes,J,19,0,0
Diabetes,J,98,0,0
Diabetes Care,J,140,0,0
Diabetes Spectrum,J,27,0,0
American Economic Review,J,26,0,0
Journal of Economic Literature,J,9,0,0
Journal of Economic Perspectives,J,14,0,0
Fisheries,J,0,2,429
Journal of Aquatic Animal Health,J,6,0,838
North American Journal of Aquaculture,J,12,0,402
North American Journal of Fisheries Management,J,30,2,2638
The Progressive Fish-Culturist,J,0,1,911
Transactions of the American Fisheries Society,J,43,0,6589
Deleted DOIs,J,0,0,1
Geochemistry Geophysics Geosystems,J,46,0,0
Geophysical Research Letters,J,467,0,0
Global Biogeochemical Cycles,J,31,0,0
International Journal of Geomagnetism and Aeronomy,J,2,0,0
Journal of Geophysical Research,J,623,0,3
Paleoceanography,J,16,0,0
Radio Science,J,35,0,2
Reviews of Geophysics,J,3,0,0
Space Weather,J,15,0,1
Tectonics,J,22,0,0
Water Resources Research,J,93,0,0
AIAA Journal,J,49,0,1
Journal of Aircraft,J,12,0,0
Journal of Guidance Control and Dynamics,J,1,0,0
Journal of Propulsion and Power,J,2,0,0
Journal of Spacecraft and Rockets,J,6,0,0
AIP Conference Proceedings,C,1247,0,0
Applied Physics Letters,J,1665,0,1337
Chaos An Interdisciplinary Journal of Nonlinear Science,J,56,0,30
Journal of Applied Physics,J,857,0,0
Journal of Mathematical Physics,J,97,0,98
Journal of Physical and Chemical Reference Data,J,7,0,0
Low Temperature Physics,J,17,0,0
Physics of Fluids,J,193,2,12281
Physics of Fluids A Fluid Dynamics,J,0,0,1596
Physics of Fluids B Plasma Physics,J,0,0,2081
Physics of Plasmas,J,172,0,176
Review of Scientific Instruments,J,203,0,152
The Journal of Chemical Physics,J,683,0,595
American Journal of Science,J,3,0,0
Journal of International Marketing,J,7,0,0
Journal of Marketing Research,J,20,0,0
Bulletin of the American Mathematical Society,J,3,0,0
Conformal Geometry and Dynamics of the American Mathematical Society,J,6,0,0
Electronic Research Announcements of the American Mathematical Society,J,6,0,0
Mathematics of Computation,J,24,0,0
Proceedings of the American Mathematical Society,J,113,0,37
Representation Theory of the American Mathematical Society,J,4,0,1
St Petersburg Mathematical Journal,J,14,0,0
Theory of Probability and Mathematical Statistics,J,18,0,0
Transactions of the American Mathematical Society,J,61,0,76
Archives of Dermatology,J,138,0,0
Archives of Facial Plastic Surgery,J,43,0,0
Archives of General Psychiatry,J,50,0,0
Archives of Internal Medicine,J,137,0,0
Archives of Neurology,J,122,0,3
Archives of Ophthalmology,J,100,0,2
Archives of Otolaryngology - Head and Neck Surgery,J,249,0,0
Archives of Pediatrics and Adolescent Medicine,J,85,0,0
Archives of Surgery,J,80,0,0
JAMA The Journal of the American Medical Association,J,490,0,1
Bulletin of the American Meteorological Society,J,20,0,6
Earth Interactions,J,2,0,1
Journal of Applied Meteorology,J,0,1,21
Journal of Applied Meteorology and Climatology,J,19,0,1
Journal of Atmospheric and Oceanic Technology,J,37,0,7
Journal of Climate,J,80,0,0
Journal of Hydrometeorology,J,19,0,19
Journal of Physical Oceanography,J,53,0,12
Journal of the Atmospheric Sciences,J,44,0,24
Monthly Weather Review,J,56,0,22
Weather and Forecasting,J,15,0,0
Journal of the American Pharmacists Association,J,19,0,0
Physical Review,J,0,0,3001
Physical Review A,J,516,0,25776
Physical Review B,J,1438,0,18170
Physical Review C,J,223,0,4436
Physical Review D,J,663,0,15336
Physical Review E,J,710,0,23288
Physical Review Letters,J,934,0,35000
Physical Review Special Topics - Accelerators and Beams,J,29,0,163
Physical Review Special Topics - Physics Education Research,J,6,0,12
Reviews of Modern Physics,J,9,0,2349
AJP Advances in Physiology Education,J,9,0,0
AJP Cell Physiology,J,124,0,62
AJP Endocrinology and Metabolism,J,108,0,77
AJP Gastrointestinal and Liver Physiology,J,78,0,54
AJP Heart and Circulatory Physiology,J,189,1,177
AJP Lung Cellular and Molecular Physiology,J,83,0,81
AJP Regulatory Integrative and Comparative Physiology,J,139,0,112
AJP Renal Physiology,J,83,0,72
Journal of Applied Physiology,J,141,0,119
Journal of Neurophysiology,J,171,0,145
Physiological Genomics,J,54,0,12
Physiology,J,18,0,0
Academic Psychiatry,J,17,0,0
American Journal of Psychiatry,J,159,0,0
Journal of Neuropsychiatry,J,24,0,0
Psychiatric Services,J,80,0,0
Psychosomatics,J,37,0,0
A History of Psychology in Autobiography Vol IV,B,0,16,0
A chronology of noteworthy events in American psychology,B,0,8,0
A first book in psychology,B,0,16,0
A first book in psychology (4th rev ed ),B,0,15,0
A history of psychology in autobiography Vol II,B,0,16,0
A method of measuring the development of intelligence of young children,B,0,2,0
A place to call home After-school programs for urban youth,B,8,0,0
A survey of the science of psychology,B,0,28,0
Action for mental health Final report of the Joint Commission on Mental Illness and Health 1961,B,0,7,0
Adolescent psychology,B,0,15,0
Alterations of personality,B,0,21,0
American Journal of Orthopsychiatry,J,14,0,0
American Psychologist,J,37,19,1
American social psychology Its origins development and European background,B,0,10,0
An introduction to psychology,B,0,29,0
An introduction to social psychology,B,0,38,0
Analytical psychology A practical manual for colleges and normal schools--Presenting the facts and principles of mental analysis,B,0,8,0
Applied experimental psychology Human factors in engineering design,B,0,15,0
Applied psychology,B,0,19,0
Aptitude testing,B,0,15,0
Army Mental Tests,B,0,7,0
Assessment of men Selection of personnel for the Office of Strategic Services,B,0,11,0
Behavioral Neuroscience,J,26,0,0
Beyond significance testing Reforming data analysis methods in behavioral research,B,10,0,0
Casebook of clinical hypnosis,B,0,20,0
Cataclysms crises and catastrophes Psychology in action,B,0,6,0
Categorization inside and outside the laboratory Essays in honor of Douglas L Medin,B,17,0,0
Catholics in psychology A historical survey,B,0,20,0
Child development Vol 1 A systematic and empirical theory,B,0,8,0
Child psychology (3rd ed ),B,0,17,0
Clinical and counseling psychology,B,0,25,0
Clinical dilemmas in psychotherapy A transtheoretical approach to psychotherapy integration,B,13,0,0
Collective behavior,B,0,21,0
Computer use in psychology A directory of software (2nd ed ),B,0,2,0
Computer use in psychology A directory of software (3rd ed ),B,0,2,0
Condensed guide for the Stanford revision of the Binet-Simon intelligence tests,B,0,2,0
Conformity and deviation,B,0,14,0
Consulting Psychology Journal Practice and Research,J,4,0,0
Couples coping with stress Emerging perspectives on dyadic coping,B,10,0,0
Creativity From potential to realization,B,12,0,0
Cultural Diversity &amp; Ethnic Minority Psychology,J,14,0,0
Culture and mental disorders,B,0,4,0
Depression,B,0,21,0
Developing individuality in the human brain A tribute to Michael I Posner,B,13,0,0
Development of the perceptual world,B,0,16,0
Developmental Psychology,J,19,0,0
Dreaming,J,13,0,0
Education as a science,B,0,15,0
Elementary experiments in psychology,B,0,17,0
Emergent human nature A symbolic field interpretation,B,0,13,0
Emotion,J,19,0,0
Empirical perspectives on object relations theory,B,0,7,0
Empirically based play interventions for children,B,14,0,0
Every other bed,B,0,24,0
Experimental and Clinical Psychopharmacology,J,13,0,0
Experimental child study,B,0,48,0
Experts in court Reconciling law science and professional knowledge,B,8,0,0
Exploratory and confirmatory factor analysis Understanding concepts and applications,B,13,0,0
Exploring applied psychology Origins and critical analyses,B,0,6,0
Families Systems &amp; Health,J,17,0,0
Families in treatment From the viewpoint of the patient the clinician and the researcher,B,0,11,0
Fundamental concepts in clinical psychology,B,0,16,0
HIV+ sex The psychological and interpersonal dynamics of HIV-seropositive gay and bisexual men s relationships,B,16,0,0
Hardware software and the mental health professional The complete guide to office computerization,B,0,18,0
Health Psychology,J,14,0,0
History of Psychology A sketch and an interpretation Vol II From John Locke to the present time,B,0,9,0
Homophobia and the law,B,7,0,0
How psychotherapists develop A study of therapeutic work and professional growth,B,14,0,0
How to survive and thrive as a therapist Information ideas and resources for psychologists in practice,B,15,0,0
Human personality and its survival of bodily death Vol I,B,0,7,0
Intelligence tests and their use The twenty-first yearbook of the National Society for the Study of Education,B,0,15,0
International Journal of Stress Management,J,7,0,0
Interpretative guide to the Millon Clinical Multiaxial Inventory,B,0,11,0
John Dewey The reconstruction of the democratic life,B,0,6,0
Journal of Abnormal Psychology,J,26,0,0
Journal of Applied Psychology,J,37,0,0
Journal of Comparative Psychology,J,17,0,0
Journal of Consulting and Clinical Psychology,J,40,0,0
Journal of Counseling Psychology,J,13,0,0
Journal of Educational Psychology,J,12,0,0
Journal of Experimental Psychology Animal Behavior Processes,J,14,0,0
Journal of Experimental Psychology Applied,J,5,0,0
Journal of Experimental Psychology General,J,11,0,0
Journal of Experimental Psychology Human Perception and Performance,J,54,0,0
Journal of Experimental Psychology Learning Memory and Cognition,J,46,0,0
Journal of Family Psychology,J,23,0,0
Journal of Occupational Health Psychology,J,6,0,0
Journal of Personality and Social Psychology,J,39,0,0
Journal of Psychotherapy Integration,J,12,0,0
Judging human character,B,0,14,0
Language and communication,B,0,13,0
Learning theory and the symbolic processes,B,0,11,0
Lectures on clinical psychiatry,B,0,31,0
Lectures on conditioned reflexes Twenty-five years of objective study of the higher nervous activity (behaviour) of animals,B,0,42,0
Man and abnormal man including a study of children in connection with bills to establish laboratories under federal and state go,B,0,8,0
Marketing psychological services A practitioner s guide,B,0,9,0
Measuring minds An examiner s guide to accompany The Myers Mental Measure,B,0,3,0
Mental deficiency In relation to problems of genesis social and occupational consequences utilization control and prevention,B,0,7,0
Mental tests Their history principles &amp; applications (Revised edition),B,0,17,0
Morale and its enemies,B,0,17,0
Nervous and mental diseases (6th ed thoroughly rev ),B,0,10,0
Neuropsychology,J,24,0,0
Nicotine dependence Understanding and applying the most effective treatment interventions,B,11,0,0
Objective approaches to personality assessment,B,0,13,0
On some Hegelisms,B,0,2,0
Personality,B,0,16,0
Personality A systematic theoretical and factual study 1st ed,B,0,22,0
Personality and life A practical guide to personality improvement,B,0,11,0
Personality and personalysis,B,0,15,0
Personality projection in the drawing of the human figure A method of personality investigation,B,0,4,0
Personality-guided cognitive-behavioral therapy,B,16,0,0
Philosophy of science The link between science and philosophy,B,0,16,0
Porteus tests -- The Vineland revision,B,0,2,0
Preparing for graduate study in psychology Not for seniors only!,B,0,8,0
Principles of systematic psychology,B,0,18,0
Private practice in clinical psychology,B,0,17,0
Problems of physiological psychology,B,0,21,0
Professional Psychology Research and Practice,J,33,0,0
Professional conduct and discipline in psychology,B,0,11,0
Professional liability and risk management,B,0,6,0
PsycCRITIQUES,J,300,0,0
Psychoanalytic Psychology,J,12,0,0
Psychological Assessment,J,13,0,0
Psychological Bulletin,J,18,0,0
Psychological Methods,J,10,0,0
Psychological Services,J,5,0,0
Psychological diagnosis in social adjustment including an annotated list of tests questionnaires and rating scales for the study,B,0,6,0
Psychological perspectives on human diversity in America,B,0,5,0
Psychologies of 1925,B,0,20,0
Psychologies of 1930,B,0,26,0
Psychology,B,0,28,0
Psychology An introductory textbook,B,0,15,0
Psychology Public Policy and Law,J,3,0,0
